id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
98480660@OBS,https://observation.org/observation/98480660,OBS.98480660,HumanObservation,Observations,Aphantopus hyperantus,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Ringlet,,1,imago,undetermined,22.81133339,54.22284373,WGS84,,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,12:00,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98480660,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98480627@OBS,https://observation.org/observation/98480627,OBS.98480627,HumanObservation,Observations,Cygnus olor,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE,Mute Swan,,10,unknown,undetermined,22.81067893,54.22279355,WGS84,,100,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,11:34,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98480627,Stichting Natuurinformatie,CC BY-NC 4.0,3/7/2015
98480594@OBS,https://observation.org/observation/98480594,OBS.98480594,HumanObservation,Observations,Speyeria aglaja,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Dark Green Fritillary,,1,imago,undetermined,22.81149432,54.22279355,WGS84,,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,11:33,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98480594,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98480565@OBS,https://observation.org/observation/98480565,OBS.98480565,HumanObservation,Observations,Pieris napi,species,Animalia,WHITES_PIERIDAE,Animalia|WHITES_PIERIDAE,Green-veined White,,1,imago,undetermined,22.81149432,54.22279355,WGS84,,1000,Europe,Poland,PL,,Poland - Podlaskie,,,,7/14/2014,11:08,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98480565,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98477023@OBS,https://observation.org/observation/98477023,OBS.98477023,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,,2,adult,undetermined,18.75579815,50.45811919,WGS84,,25,Europe,Poland,PL,,Poland - ?l?skie,,,,3/6/2015,18:40,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98477023,Stichting Natuurinformatie,CC BY-NC 4.0,8/12/2017
98466101@OBS,https://observation.org/observation/98466101,OBS.98466101,HumanObservation,Observations,Corvus cornix,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Animalia|CROWS_AND_JAYS_CORVIDAE,Hooded Crow,,2,unknown,undetermined,20.96737862,52.17284736,WGS84,,100,Europe,Poland,PL,,Poland - Warszawa,,,,3/6/2015,12:20,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98466101,Stichting Natuurinformatie,CC BY-NC 4.0,8/11/2017
98459605@OBS,https://observation.org/observation/98459605,OBS.98459605,HumanObservation,Observations,Chrysochraon dispar,species,Animalia,SHORTHORNED_GRASSHOPPERS_ACRIDIDAE,Animalia|SHORTHORNED_GRASSHOPPERS_ACRIDIDAE,Large Golden Grasshopper,,1,imago,undetermined,23.08273338,54.06909692,WGS84,,100,Europe,Poland,PL,,Poland - Wigry NP,,,,7/13/2014,18:25,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98459605,Stichting Natuurinformatie,CC BY-NC 4.0,3/7/2015
98459440@OBS,https://observation.org/observation/98459440,OBS.98459440,HumanObservation,Observations,Thymelicus lineola,species,Animalia,SKIPPERS_HESPERIIDAE,Animalia|SKIPPERS_HESPERIIDAE,Essex Skipper,,1,imago,undetermined,23.06375071,54.09654983,WGS84,,1000,Europe,Poland,PL,,Poland - Wigry NP,,,,7/13/2014,14:44,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98459440,Stichting Natuurinformatie,CC BY-NC 4.0,3/5/2015
98459375@OBS,https://observation.org/observation/98459375,OBS.98459375,HumanObservation,Observations,Motacilla alba,species,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Animalia|PIPITS_EN_WAGTAILS_MOTACILLIDAE,White Wagtail,,1,adult breeding,male,23.08520101,54.06922283,WGS84,,100,Europe,Poland,PL,,Poland - Wigry NP,,,,7/12/2014,18:32,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98459375,Stichting Natuurinformatie,CC BY-NC 4.0,3/6/2015
98459178@OBS,https://observation.org/observation/98459178,OBS.98459178,HumanObservation,Observations,Phalacrocorax carbo sinensis,subspecies,Animalia,CORMORANTS_PHALACROCORACIDAE,Animalia|CORMORANTS_PHALACROCORACIDAE,Great Cormorant ssp sinensis,,1000,unknown,undetermined,21.62249655,54.10092817,WGS84,,100,Europe,Poland,PL,,Poland- Mazurisch Merenplateau,,,,7/10/2014,12:20,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98459178,Stichting Natuurinformatie,CC BY-NC 4.0,5/30/2015
98458852@OBS,https://observation.org/observation/98458852,OBS.98458852,HumanObservation,Observations,Aphantopus hyperantus,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Ringlet,,1,imago,undetermined,21.57513879,53.64576968,WGS84,,100,Europe,Poland,PL,,Poland- Mazurisch Merenplateau,,,,7/9/2014,11:42,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98458852,Stichting Natuurinformatie,CC BY-NC 4.0,3/5/2015
98458820@OBS,https://observation.org/observation/98458820,OBS.98458820,HumanObservation,Observations,Lycaena virgaureae,species,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Animalia|GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Scarce Copper,,5,imago,undetermined,21.55,53.6,WGS84,,5000,Europe,Poland,PL,,Poland- Mazurisch Merenplateau,,,,7/9/2014,11:37,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98458820,Stichting Natuurinformatie,CC BY-NC 4.0,3/5/2015
98458790@OBS,https://observation.org/observation/98458790,OBS.98458790,HumanObservation,Observations,Polygonia c-album,species,Animalia,BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE,Comma Butterfly,,1,imago,undetermined,21.57636188,53.64674908,WGS84,,100,Europe,Poland,PL,,Poland- Mazurisch Merenplateau,,,,7/9/2014,11:28,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98458790,Stichting Natuurinformatie,CC BY-NC 4.0,3/5/2015
98458619@OBS,https://observation.org/observation/98458619,OBS.98458619,HumanObservation,Observations,Ciconia ciconia,species,Animalia,STORKS_CICONIIDAE,Animalia|STORKS_CICONIIDAE,White Stork,,1,adult,undetermined,21.57601856,53.64608767,WGS84,,100,Europe,Poland,PL,,Poland- Mazurisch Merenplateau,,,,7/9/2014,11:39,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98458619,Stichting Natuurinformatie,CC BY-NC 4.0,3/5/2015
98439380@OBS,https://observation.org/observation/98439380,OBS.98439380,HumanObservation,Observations,Corvus frugilegus,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Animalia|CROWS_AND_JAYS_CORVIDAE,Rook,,1,unknown,undetermined,22.88545668,52.9923547,WGS84,,10,Europe,Poland,PL,,Poland - Podlaskie,,,,3/5/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98439380,Stichting Natuurinformatie,CC BY-NC 4.0,12/11/2015
98394335@OBS,https://observation.org/observation/98394335,OBS.98394335,HumanObservation,Observations,Capreolus capreolus,species,Animalia,DEER_CERVIDAE,Animalia|DEER_CERVIDAE,European Roe Deer,,10,unknown,undetermined,22.87269115,53.03054155,WGS84,,100,Europe,Poland,PL,,Poland - Podlaskie,,,,3/2/2015,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.98394335,Stichting Natuurinformatie,CC BY-NC 4.0,3/2/2015
